ProFILE,NAME,Cost,Weight,Size,Power PID,Power Type,Charges,Shoot Thru [Flag],Light Thru [Flag],
00000041.pro,Money,1,0,0,,None,0,False,False,
00000047.pro,First Aid Kit,200,2,1,,None,0,True,True,
00000050.pro,Reserved Item,0,10,1,,,-858993460,True,True,
00000051.pro,Dynamite,500,5,1,,None,0,True,True,
00000052.pro,Geiger Counter,650,4,1,Small Energy Cell [38],C Energy Cell,200,True,True,
00000054.pro,Stealth Boy,1800,3,1,Small Energy Cell [38],C Energy Cell,100,True,True,
00000055.pro,Water Chip,1,2,1,,None,0,True,True,
00000056.pro,Dog Tags,50,0,1,,None,0,True,True,
00000057.pro,Bug,50,2,1,,None,0,True,True,
00000058.pro,Tape,40,4,1,,None,0,True,True,
00000059.pro,Motion Sensor,800,7,1,Small Energy Cell [38],C Energy Cell,150,True,True,
00000072.pro,Briefcase,35,5,1,,None,0,True,True,
00000073.pro,Big Book of Science,400,5,0,,None,0,True,True,
00000075.pro,Tool,200,1,1,,None,0,True,True,
00000076.pro,Deans Electronics,130,2,1,,None,0,True,True,
00000077.pro,Electronic Lockpick,375,2,1,,None,0,True,True,
00000078.pro,Fuzzy Painting,300,12,1,,None,0,True,True,
00000080.pro,First Aid Book,175,2,1,,None,0,True,True,
00000084.pro,Lockpicks,150,1,1,,None,0,True,True,
00000085.pro,Plastic Explosives,850,4,1,,None,0,True,True,
00000086.pro,Scout Handbook,200,3,1,,None,0,True,True,
00000088.pro,Watch,0,1,1,,None,0,True,True,
00000089.pro,Motor,210,14,1,,None,0,True,True,
00000091.pro,Doctor's Bag,300,5,1,,None,0,True,True,
00000092.pro,Scorpion Tail,10,20,1,,None,0,True,True,
00000098.pro,Junk,40,12,1,,None,0,True,True,
00000099.pro,Gold Locket,400,1,1,,None,0,True,True,
00000100.pro,Radio,350,6,1,,None,0,True,True,
00000101.pro,Lighter,100,0,1,,None,0,True,True,
00000102.pro,Guns and Bullets,425,2,1,,None,0,True,True,
00000104.pro,Tape Recorder,80,5,1,Small Energy Cell [38],C Energy Cell,20,True,True,
00000112.pro,Urn,130,6,0,,None,0,True,True,
00000114.pro,Tangler's Hand,200,3,1,,None,0,True,True,
00000117.pro,Flower,5,1,1,,None,0,True,True,
00000119.pro,Necklace,700,2,1,,None,0,True,True,
00000123.pro,Psychic Nullifier,1000,3,1,,None,0,True,True,
00000126.pro,Water Flask,25,2,1,,None,0,True,True,
00000127.pro,Rope,25,10,1,,None,0,True,True,
00000140.pro,Access Card,25,1,1,,None,0,True,True,
00000141.pro,COC Badge,400,1,1,,None,0,True,True,
00000142.pro,COC Badge,12,1,1,,None,0,True,True,
00000148.pro,Bookshelf,0,1099,1,,None,0,True,True,
00000150.pro,Bookshelf,0,1099,1,,None,0,True,True,
00000154.pro,Shelves,0,1099,1,,None,0,True,True,
00000156.pro,Shelves,0,1010,1,,None,0,True,True,
00000164.pro,Brotherhood Tape,70,1,1,,None,0,True,True,
00000190.pro,FEV Disk,200,1,1,,None,0,True,True,
00000191.pro,Security Disk,50,1,1,,None,0,True,True,
00000192.pro,Alpha Experiment Disk,50,1,1,,None,0,True,True,
00000193.pro,Delta Experiment Disk,50,1,1,,None,0,True,True,
00000194.pro,Vree's Experiment Disk,75,1,1,,None,0,True,True,
00000195.pro,Brotherhood Honor Code,50,1,1,,None,0,True,True,
00000196.pro,Mutant Transmissions,125,1,1,,None,0,True,True,
00000206.pro,Dynamite,500,5,1,,None,0,True,True,
00000207.pro,Geiger Counter,650,4,1,Small Energy Cell [38],C Energy Cell,200,True,True,
00000208.pro,Motion Sensor,800,7,1,Small Energy Cell [38],C Energy Cell,150,True,True,
00000209.pro,Plastic Explosives,850,4,1,,None,0,True,True,
00000210.pro,Stealth Boy,1800,3,1,Small Energy Cell [38],C Energy Cell,100,True,True,
00000212.pro,Tandi,600,10,1,,None,0,True,True,
00000215.pro,Brotherhood History,50,1,1,,None,0,True,True,
00000216.pro,Maxson's History,50,1,1,,None,0,True,True,
00000217.pro,Maxson's Journal,50,1,1,,None,0,True,True,
00000218.pro,Light Healing,25,0,1,,None,0,True,True,
00000219.pro,Medium Healing,50,0,1,,None,0,True,True,
00000220.pro,Heavy Healing,100,0,1,,None,0,True,True,
00000221.pro,Security Card,40,0,1,,None,0,True,True,
00000222.pro,Field Switch,0,1,1,,None,0,True,True,
00000224.pro,Small Statuette,300,3,1,,None,0,True,True,
00000225.pro,Cat's Paw Magazine,5,1,1,,None,0,True,True,
00000226.pro,Box Of Noodles,35,1,1,,None,0,True,True,
00000227.pro,Small Dusty Box Of Some Sort,20,2,1,,None,0,True,True,
00000228.pro,Technical Manual,200,2,1,,None,0,True,True,
00000229.pro,Small Piece Of Machinery,150,1,1,,None,0,True,True,
00000230.pro,Vault Records,50,1,1,,None,0,True,True,
00000231.pro,Military Base Security Code,0,1,1,,None,0,True,True,
00000237.pro,Chemistry Journals,100,5,1,,None,0,True,True,
00000238.pro,Regulator Transmission,25,1,1,,None,0,True,True,
00000251.pro,Anna's Bones,0,10,1,,,-858993460,True,True,
00000252.pro,Anna's Gold Locket,0,1,1,,,-858993460,True,True,
00000253.pro,Fuel Cell Controller,0,5,1,,,-858993460,True,True,
00000254.pro,Fuel Cell Regulator,0,5,1,,,-858993460,True,True,
00000255.pro,Day Pass,0,1,1,,,-858993460,True,True,
00000256.pro,False Citizenship Papers,0,1,1,,,-858993460,True,True,
00000257.pro,Cornelius' Gold Watch,0,1,1,,,-858993460,True,True,
00000258.pro,Hydroelectric Part,0,10,2,,,-858993460,True,True,
00000262.pro,Rubber Boots,0,2,1,,,-858993460,True,True,
00000263.pro,Slag Message,0,1,1,,,-858993460,True,True,
00000264.pro,Smith's Cool Item,0,1,1,,,-858993460,True,True,
00000266.pro,Vic's Radio,50,5,1,,,-858993460,True,True,
00000267.pro,Vic's Water Flask,0,2,1,,,-858993460,True,True,
00000269.pro,Robot Parts,0,300,1,,,-858993460,True,True,
00000271.pro,Broc Flower,1,0,0,,,-858993460,True,True,
00000272.pro,Xander Root,2,0,0,,,-858993460,True,True,
00000275.pro,Trophy of Recognition,2000,10,1,,,-858993460,True,True,
00000276.pro,Gecko Pelt,25,2,2,,,-858993460,True,True,
00000277.pro,Golden Gecko Pelt,125,5,3,,,-858993460,True,True,
00000278.pro,Flint,5,2,1,,,-858993460,True,True,
00000279.pro,Neural Interface,800,3,1,,,-858993460,True,True,
00000281.pro,Dixon's Eye,0,1,1,,,-858993460,True,True,
00000282.pro,Clifton's Eye,0,1,1,,,-858993460,True,True,
00000284.pro,Meat Jerky,5,1,0,,,-858993460,True,True,
00000285.pro,Radscorpion Limbs,0,10,2,,,-858993460,True,True,
00000286.pro,Firewood,0,10,3,,,-858993460,True,True,
00000288.pro,Car Fuel Cell,0,10,2,,,-858993460,True,True,
00000289.pro,Shovel,15,10,3,,,-858993460,True,True,
00000294.pro,Vault 13 Holodisk,200,1,1,,,-858993460,True,True,
00000295.pro,Cheezy Poofs,5,1,1,,,-858993460,True,True,
00000297.pro,Metal Pole,5,10,5,,,-858993460,True,True,
00000298.pro,Trapper Town Key,0,0,1,,,-858993460,True,True,
00000301.pro,Clipboard,0,1,1,,,-858993460,True,True,
00000302.pro,Gecko Holodisk,50,1,1,,,-858993460,True,True,
00000303.pro,Reactor Holodisk,50,1,1,,,-858993460,True,True,
00000304.pro,"Deck of ""Tragic"" Cards",50,1,1,,,-858993460,True,True,
00000305.pro,Yellow Reactor Keycard,25,1,1,,,-858993460,True,True,
00000306.pro,Red Reactor Keycard,25,1,1,,,-858993460,True,True,
00000307.pro,Plasma Transformer,200,1,1,,,-858993460,True,True,
00000308.pro,Super Tool Kit,1000,10,3,,,-858993460,True,True,
00000309.pro,Talisman,25,1,1,,,-858993460,True,True,
00000312.pro,Part Requisition Form,10,1,1,,,-858993460,True,True,
00000314.pro,Condom (Blue Package),2,0,1,,,-858993460,True,True,
00000315.pro,Condom (Green package),2,0,1,,,-858993460,True,True,
00000316.pro,Condom (Red Package),2,0,1,,,-858993460,True,True,
00000317.pro,Cosmetics Case,25,1,1,,,-858993460,True,True,
00000318.pro,Empty Hypodermic,2,1,1,,,-858993460,True,True,
00000321.pro,Cybernetic Brain,2000,8,1,,,-858993460,True,True,
00000322.pro,Human Brain,0,5,1,,,-858993460,True,True,
00000323.pro,Chimpanzee Brain,0,4,1,,,-858993460,True,True,
00000324.pro,Abnormal Brain,0,5,1,,,-858993460,True,True,
00000325.pro,Dice,5,0,1,,,-858993460,True,True,
00000326.pro,Loaded Dice,20,0,1,,,-858993460,True,True,
00000327.pro,Easter Egg,1,0,1,,,-858993460,True,True,
00000328.pro,Magic 8-Ball,50,1,1,,,-858993460,True,True,
00000329.pro,Mutagenic Serum,0,0,1,,,-858993460,True,True,
00000331.pro,Cat's Paw Issue #5,50,0,1,,,-858993460,True,True,
00000333.pro,Heart Pills,50,0,1,,,-858993460,True,True,
00000335.pro,Moore's Briefcase,35,5,1,,,-858993460,True,True,
00000336.pro,Moore's Briefcase,35,5,1,,,-858993460,True,True,
00000337.pro,Lynette Holodisk,50,1,1,,,-858993460,True,True,
00000338.pro,Westin Holodisk,50,1,1,,,-858993460,True,True,
00000339.pro,NCR Spy Holodisk,50,1,1,,,-858993460,True,True,
00000340.pro,Doctor's Papers,0,0,1,,,-858993460,True,True,
00000341.pro,Presidential Pass,0,0,1,,,-858993460,True,True,
00000342.pro,Ranger Pin,10,1,1,,,-858993460,True,True,
00000343.pro,Ranger's Map,0,1,1,,,-858993460,True,True,
00000356.pro,Computer Voice Module,3000,1,1,,,-858993460,True,True,
00000364.pro,Robot Motivator,50,20,3,,,-858993460,True,True,
00000366.pro,G.E.C.K.,0,10,1,,,-858993460,True,True,
00000373.pro,Vault 15 Keycard,0,1,1,,,-858993460,True,True,
00000377.pro,Vault 15 Computer Parts,100,10,2,,,-858993460,True,True,
00000408.pro,Field Medic First Aid Kit,400,2,1,,,-858993460,True,True,
00000409.pro,Paramedics Bag,600,6,1,,,-858993460,True,True,
00000410.pro,Expanded Lockpick Set,400,1,1,,,-858993460,True,True,
00000411.pro,Electronic Lockpick MKII,700,2,1,,,-858993460,True,True,
00000412.pro,Oil Can,150,3,1,,,-858993460,True,True,
00000413.pro,Stables ID Badge,0,0,1,,,-858993460,True,True,
00000414.pro,Vault 15 Shack Key,0,0,1,,,-858993460,True,True,
00000415.pro,Spectacles,50,0,1,,,-858993460,True,True,
